"","date_time","minute_hour","hour","interval","date","count","day","date_abbrev"
"1","08/21/2023, 8:00-14","8:00-14",8,"00-14","08/21/2023",1,"Monday","08.21"
"2","08/21/2023, 8:00-14","8:00-14",8,"00-14","08/21/2023",3,"Monday","08.21"
"3","08/21/2023, 8:00-14","8:00-14",8,"00-14","08/21/2023",4,"Monday","08.21"
"4","08/21/2023, 8:15-29","8:15-29",8,"15-29","08/21/2023",7,"Monday","08.21"
"5","08/21/2023, 8:15-29","8:15-29",8,"15-29","08/21/2023",1,"Monday","08.21"
"6","08/21/2023, 8:15-29","8:15-29",8,"15-29","08/21/2023",1,"Monday","08.21"
"7","08/21/2023, 8:15-29","8:15-29",8,"15-29","08/21/2023",15,"Monday","08.21"
"8","08/21/2023, 8:30-44","8:30-44",8,"30-44","08/21/2023",5,"Monday","08.21"
"9","08/21/2023, 8:30-44","8:30-44",8,"30-44","08/21/2023",2,"Monday","08.21"
"10","08/21/2023, 8:30-44","8:30-44",8,"30-44","08/21/2023",14,"Monday","08.21"
"11","08/21/2023, 8:45-59","8:45-59",8,"45-59","08/21/2023",11,"Monday","08.21"
"12","08/21/2023, 8:45-59","8:45-59",8,"45-59","08/21/2023",1,"Monday","08.21"
"13","08/21/2023, 9:00-14","9:00-14",9,"00-14","08/21/2023",16,"Monday","08.21"
"14","08/21/2023, 9:00-14","9:00-14",9,"00-14","08/21/2023",1,"Monday","08.21"
"15","08/21/2023, 9:00-14","9:00-14",9,"00-14","08/21/2023",1,"Monday","08.21"
"16","08/21/2023, 9:00-14","9:00-14",9,"00-14","08/21/2023",7,"Monday","08.21"
"17","08/21/2023, 9:15-29","9:15-29",9,"15-29","08/21/2023",5,"Monday","08.21"
"18","08/21/2023, 9:15-29","9:15-29",9,"15-29","08/21/2023",15,"Monday","08.21"
"19","08/21/2023, 9:30-44","9:30-44",9,"30-44","08/21/2023",9,"Monday","08.21"
"20","08/21/2023, 9:30-44","9:30-44",9,"30-44","08/21/2023",1,"Monday","08.21"
"21","08/21/2023, 9:30-44","9:30-44",9,"30-44","08/21/2023",3,"Monday","08.21"
"22","08/21/2023, 9:30-44","9:30-44",9,"30-44","08/21/2023",15,"Monday","08.21"
"23","08/21/2023, 9:45-59","9:45-59",9,"45-59","08/21/2023",20,"Monday","08.21"
"24","08/21/2023, 9:45-59","9:45-59",9,"45-59","08/21/2023",1,"Monday","08.21"
"25","08/21/2023, 9:45-59","9:45-59",9,"45-59","08/21/2023",28,"Monday","08.21"
"26","08/21/2023, 10:00-14","10:00-14",10,"00-14","08/21/2023",19,"Monday","08.21"
"27","08/21/2023, 10:00-14","10:00-14",10,"00-14","08/21/2023",1,"Monday","08.21"
"28","08/21/2023, 10:00-14","10:00-14",10,"00-14","08/21/2023",27,"Monday","08.21"
"29","08/21/2023, 10:15-29","10:15-29",10,"15-29","08/21/2023",13,"Monday","08.21"
"30","08/21/2023, 10:15-29","10:15-29",10,"15-29","08/21/2023",22,"Monday","08.21"
"31","08/21/2023, 10:30-44","10:30-44",10,"30-44","08/21/2023",12,"Monday","08.21"
"32","08/21/2023, 10:30-44","10:30-44",10,"30-44","08/21/2023",6,"Monday","08.21"
"33","08/21/2023, 10:45-59","10:45-59",10,"45-59","08/21/2023",6,"Monday","08.21"
"34","08/21/2023, 10:45-59","10:45-59",10,"45-59","08/21/2023",1,"Monday","08.21"
"35","08/21/2023, 10:45-59","10:45-59",10,"45-59","08/21/2023",15,"Monday","08.21"
"36","08/21/2023, 11:00-14","11:00-14",11,"00-14","08/21/2023",45,"Monday","08.21"
"37","08/21/2023, 11:00-14","11:00-14",11,"00-14","08/21/2023",1,"Monday","08.21"
"38","08/21/2023, 11:00-14","11:00-14",11,"00-14","08/21/2023",86,"Monday","08.21"
"39","08/21/2023, 11:15-29","11:15-29",11,"15-29","08/21/2023",31,"Monday","08.21"
"40","08/21/2023, 11:15-29","11:15-29",11,"15-29","08/21/2023",1,"Monday","08.21"
"41","08/21/2023, 11:15-29","11:15-29",11,"15-29","08/21/2023",94,"Monday","08.21"
"42","08/21/2023, 11:30-44","11:30-44",11,"30-44","08/21/2023",55,"Monday","08.21"
"43","08/21/2023, 11:30-44","11:30-44",11,"30-44","08/21/2023",1,"Monday","08.21"
"44","08/21/2023, 11:30-44","11:30-44",11,"30-44","08/21/2023",5,"Monday","08.21"
"45","08/21/2023, 11:30-44","11:30-44",11,"30-44","08/21/2023",68,"Monday","08.21"
"46","08/21/2023, 11:45-59","11:45-59",11,"45-59","08/21/2023",1,"Monday","08.21"
"47","08/21/2023, 11:45-59","11:45-59",11,"45-59","08/21/2023",60,"Monday","08.21"
"48","08/21/2023, 11:45-59","11:45-59",11,"45-59","08/21/2023",7,"Monday","08.21"
"49","08/21/2023, 11:45-59","11:45-59",11,"45-59","08/21/2023",58,"Monday","08.21"
"50","08/21/2023, 12:00-14","12:00-14",12,"00-14","08/21/2023",59,"Monday","08.21"
"51","08/21/2023, 12:00-14","12:00-14",12,"00-14","08/21/2023",1,"Monday","08.21"
"52","08/21/2023, 12:00-14","12:00-14",12,"00-14","08/21/2023",4,"Monday","08.21"
"53","08/21/2023, 12:00-14","12:00-14",12,"00-14","08/21/2023",107,"Monday","08.21"
"54","08/21/2023, 12:15-29","12:15-29",12,"15-29","08/21/2023",65,"Monday","08.21"
"55","08/21/2023, 12:15-29","12:15-29",12,"15-29","08/21/2023",2,"Monday","08.21"
"56","08/21/2023, 12:15-29","12:15-29",12,"15-29","08/21/2023",115,"Monday","08.21"
"57","08/21/2023, 12:30-44","12:30-44",12,"30-44","08/21/2023",57,"Monday","08.21"
"58","08/21/2023, 12:30-44","12:30-44",12,"30-44","08/21/2023",8,"Monday","08.21"
"59","08/21/2023, 12:30-44","12:30-44",12,"30-44","08/21/2023",98,"Monday","08.21"
"60","08/21/2023, 12:45-59","12:45-59",12,"45-59","08/21/2023",57,"Monday","08.21"
"61","08/21/2023, 12:45-59","12:45-59",12,"45-59","08/21/2023",3,"Monday","08.21"
"62","08/21/2023, 12:45-59","12:45-59",12,"45-59","08/21/2023",97,"Monday","08.21"
"63","08/21/2023, 13:00-14","13:00-14",13,"00-14","08/21/2023",51,"Monday","08.21"
"64","08/21/2023, 13:00-14","13:00-14",13,"00-14","08/21/2023",3,"Monday","08.21"
"65","08/21/2023, 13:00-14","13:00-14",13,"00-14","08/21/2023",6,"Monday","08.21"
"66","08/21/2023, 13:00-14","13:00-14",13,"00-14","08/21/2023",60,"Monday","08.21"
"67","08/21/2023, 13:15-29","13:15-29",13,"15-29","08/21/2023",1,"Monday","08.21"
"68","08/21/2023, 13:15-29","13:15-29",13,"15-29","08/21/2023",46,"Monday","08.21"
"69","08/21/2023, 13:15-29","13:15-29",13,"15-29","08/21/2023",4,"Monday","08.21"
"70","08/21/2023, 13:15-29","13:15-29",13,"15-29","08/21/2023",86,"Monday","08.21"
"71","08/21/2023, 13:30-44","13:30-44",13,"30-44","08/21/2023",1,"Monday","08.21"
"72","08/21/2023, 13:30-44","13:30-44",13,"30-44","08/21/2023",42,"Monday","08.21"
"73","08/21/2023, 13:30-44","13:30-44",13,"30-44","08/21/2023",4,"Monday","08.21"
"74","08/21/2023, 13:30-44","13:30-44",13,"30-44","08/21/2023",4,"Monday","08.21"
"75","08/21/2023, 13:30-44","13:30-44",13,"30-44","08/21/2023",72,"Monday","08.21"
"76","08/21/2023, 13:45-59","13:45-59",13,"45-59","08/21/2023",31,"Monday","08.21"
"77","08/21/2023, 13:45-59","13:45-59",13,"45-59","08/21/2023",1,"Monday","08.21"
"78","08/21/2023, 13:45-59","13:45-59",13,"45-59","08/21/2023",3,"Monday","08.21"
"79","08/21/2023, 13:45-59","13:45-59",13,"45-59","08/21/2023",35,"Monday","08.21"
"80","08/21/2023, 14:00-14","14:00-14",14,"00-14","08/21/2023",13,"Monday","08.21"
"81","08/21/2023, 14:00-14","14:00-14",14,"00-14","08/21/2023",5,"Monday","08.21"
"82","08/21/2023, 14:00-14","14:00-14",14,"00-14","08/21/2023",19,"Monday","08.21"
"83","08/21/2023, 14:15-29","14:15-29",14,"15-29","08/21/2023",20,"Monday","08.21"
"84","08/21/2023, 14:15-29","14:15-29",14,"15-29","08/21/2023",3,"Monday","08.21"
"85","08/21/2023, 14:15-29","14:15-29",14,"15-29","08/21/2023",34,"Monday","08.21"
"86","08/21/2023, 14:30-44","14:30-44",14,"30-44","08/21/2023",16,"Monday","08.21"
"87","08/21/2023, 14:30-44","14:30-44",14,"30-44","08/21/2023",1,"Monday","08.21"
"88","08/21/2023, 14:30-44","14:30-44",14,"30-44","08/21/2023",36,"Monday","08.21"
"89","08/21/2023, 14:45-59","14:45-59",14,"45-59","08/21/2023",23,"Monday","08.21"
"90","08/21/2023, 14:45-59","14:45-59",14,"45-59","08/21/2023",18,"Monday","08.21"
"91","08/21/2023, 15:00-14","15:00-14",15,"00-14","08/21/2023",5,"Monday","08.21"
"92","08/21/2023, 15:00-14","15:00-14",15,"00-14","08/21/2023",2,"Monday","08.21"
"93","08/21/2023, 15:15-29","15:15-29",15,"15-29","08/21/2023",1,"Monday","08.21"
"94","08/22/2023, 8:00-14","8:00-14",8,"00-14","08/22/2023",1,"Tuesday","08.22"
"95","08/22/2023, 8:00-14","8:00-14",8,"00-14","08/22/2023",2,"Tuesday","08.22"
"96","08/22/2023, 8:00-14","8:00-14",8,"00-14","08/22/2023",13,"Tuesday","08.22"
"97","08/22/2023, 8:15-29","8:15-29",8,"15-29","08/22/2023",5,"Tuesday","08.22"
"98","08/22/2023, 8:15-29","8:15-29",8,"15-29","08/22/2023",1,"Tuesday","08.22"
"99","08/22/2023, 8:15-29","8:15-29",8,"15-29","08/22/2023",21,"Tuesday","08.22"
"100","08/22/2023, 8:30-44","8:30-44",8,"30-44","08/22/2023",3,"Tuesday","08.22"
"101","08/22/2023, 8:30-44","8:30-44",8,"30-44","08/22/2023",1,"Tuesday","08.22"
"102","08/22/2023, 8:30-44","8:30-44",8,"30-44","08/22/2023",13,"Tuesday","08.22"
"103","08/22/2023, 8:45-59","8:45-59",8,"45-59","08/22/2023",4,"Tuesday","08.22"
"104","08/22/2023, 8:45-59","8:45-59",8,"45-59","08/22/2023",3,"Tuesday","08.22"
"105","08/22/2023, 8:45-59","8:45-59",8,"45-59","08/22/2023",3,"Tuesday","08.22"
"106","08/22/2023, 9:00-14","9:00-14",9,"00-14","08/22/2023",5,"Tuesday","08.22"
"107","08/22/2023, 9:00-14","9:00-14",9,"00-14","08/22/2023",1,"Tuesday","08.22"
"108","08/22/2023, 9:00-14","9:00-14",9,"00-14","08/22/2023",8,"Tuesday","08.22"
"109","08/22/2023, 9:15-29","9:15-29",9,"15-29","08/22/2023",9,"Tuesday","08.22"
"110","08/22/2023, 9:15-29","9:15-29",9,"15-29","08/22/2023",1,"Tuesday","08.22"
"111","08/22/2023, 9:15-29","9:15-29",9,"15-29","08/22/2023",2,"Tuesday","08.22"
"112","08/22/2023, 9:15-29","9:15-29",9,"15-29","08/22/2023",7,"Tuesday","08.22"
"113","08/22/2023, 9:30-44","9:30-44",9,"30-44","08/22/2023",7,"Tuesday","08.22"
"114","08/22/2023, 9:30-44","9:30-44",9,"30-44","08/22/2023",29,"Tuesday","08.22"
"115","08/22/2023, 9:45-59","9:45-59",9,"45-59","08/22/2023",8,"Tuesday","08.22"
"116","08/22/2023, 9:45-59","9:45-59",9,"45-59","08/22/2023",3,"Tuesday","08.22"
"117","08/22/2023, 9:45-59","9:45-59",9,"45-59","08/22/2023",34,"Tuesday","08.22"
"118","08/22/2023, 10:00-14","10:00-14",10,"00-14","08/22/2023",16,"Tuesday","08.22"
"119","08/22/2023, 10:00-14","10:00-14",10,"00-14","08/22/2023",1,"Tuesday","08.22"
"120","08/22/2023, 10:00-14","10:00-14",10,"00-14","08/22/2023",30,"Tuesday","08.22"
"121","08/22/2023, 10:15-29","10:15-29",10,"15-29","08/22/2023",14,"Tuesday","08.22"
"122","08/22/2023, 10:15-29","10:15-29",10,"15-29","08/22/2023",1,"Tuesday","08.22"
"123","08/22/2023, 10:15-29","10:15-29",10,"15-29","08/22/2023",21,"Tuesday","08.22"
"124","08/22/2023, 10:30-44","10:30-44",10,"30-44","08/22/2023",4,"Tuesday","08.22"
"125","08/22/2023, 10:30-44","10:30-44",10,"30-44","08/22/2023",6,"Tuesday","08.22"
"126","08/22/2023, 10:45-59","10:45-59",10,"45-59","08/22/2023",9,"Tuesday","08.22"
"127","08/22/2023, 10:45-59","10:45-59",10,"45-59","08/22/2023",1,"Tuesday","08.22"
"128","08/22/2023, 10:45-59","10:45-59",10,"45-59","08/22/2023",8,"Tuesday","08.22"
"129","08/22/2023, 11:00-14","11:00-14",11,"00-14","08/22/2023",1,"Tuesday","08.22"
"130","08/22/2023, 11:00-14","11:00-14",11,"00-14","08/22/2023",33,"Tuesday","08.22"
"131","08/22/2023, 11:00-14","11:00-14",11,"00-14","08/22/2023",1,"Tuesday","08.22"
"132","08/22/2023, 11:00-14","11:00-14",11,"00-14","08/22/2023",4,"Tuesday","08.22"
"133","08/22/2023, 11:00-14","11:00-14",11,"00-14","08/22/2023",58,"Tuesday","08.22"
"134","08/22/2023, 11:15-29","11:15-29",11,"15-29","08/22/2023",1,"Tuesday","08.22"
"135","08/22/2023, 11:15-29","11:15-29",11,"15-29","08/22/2023",52,"Tuesday","08.22"
"136","08/22/2023, 11:15-29","11:15-29",11,"15-29","08/22/2023",1,"Tuesday","08.22"
"137","08/22/2023, 11:15-29","11:15-29",11,"15-29","08/22/2023",2,"Tuesday","08.22"
"138","08/22/2023, 11:15-29","11:15-29",11,"15-29","08/22/2023",89,"Tuesday","08.22"
"139","08/22/2023, 11:30-44","11:30-44",11,"30-44","08/22/2023",45,"Tuesday","08.22"
"140","08/22/2023, 11:30-44","11:30-44",11,"30-44","08/22/2023",1,"Tuesday","08.22"
"141","08/22/2023, 11:30-44","11:30-44",11,"30-44","08/22/2023",1,"Tuesday","08.22"
"142","08/22/2023, 11:30-44","11:30-44",11,"30-44","08/22/2023",115,"Tuesday","08.22"
"143","08/22/2023, 11:45-59","11:45-59",11,"45-59","08/22/2023",54,"Tuesday","08.22"
"144","08/22/2023, 11:45-59","11:45-59",11,"45-59","08/22/2023",6,"Tuesday","08.22"
"145","08/22/2023, 11:45-59","11:45-59",11,"45-59","08/22/2023",82,"Tuesday","08.22"
"146","08/22/2023, 12:00-14","12:00-14",12,"00-14","08/22/2023",56,"Tuesday","08.22"
"147","08/22/2023, 12:00-14","12:00-14",12,"00-14","08/22/2023",4,"Tuesday","08.22"
"148","08/22/2023, 12:00-14","12:00-14",12,"00-14","08/22/2023",69,"Tuesday","08.22"
"149","08/22/2023, 12:15-29","12:15-29",12,"15-29","08/22/2023",53,"Tuesday","08.22"
"150","08/22/2023, 12:15-29","12:15-29",12,"15-29","08/22/2023",7,"Tuesday","08.22"
"151","08/22/2023, 12:15-29","12:15-29",12,"15-29","08/22/2023",86,"Tuesday","08.22"
"152","08/22/2023, 12:30-44","12:30-44",12,"30-44","08/22/2023",41,"Tuesday","08.22"
"153","08/22/2023, 12:30-44","12:30-44",12,"30-44","08/22/2023",1,"Tuesday","08.22"
"154","08/22/2023, 12:30-44","12:30-44",12,"30-44","08/22/2023",9,"Tuesday","08.22"
"155","08/22/2023, 12:30-44","12:30-44",12,"30-44","08/22/2023",75,"Tuesday","08.22"
"156","08/22/2023, 12:45-59","12:45-59",12,"45-59","08/22/2023",61,"Tuesday","08.22"
"157","08/22/2023, 12:45-59","12:45-59",12,"45-59","08/22/2023",1,"Tuesday","08.22"
"158","08/22/2023, 12:45-59","12:45-59",12,"45-59","08/22/2023",5,"Tuesday","08.22"
"159","08/22/2023, 12:45-59","12:45-59",12,"45-59","08/22/2023",94,"Tuesday","08.22"
"160","08/22/2023, 13:00-14","13:00-14",13,"00-14","08/22/2023",1,"Tuesday","08.22"
"161","08/22/2023, 13:00-14","13:00-14",13,"00-14","08/22/2023",61,"Tuesday","08.22"
"162","08/22/2023, 13:00-14","13:00-14",13,"00-14","08/22/2023",6,"Tuesday","08.22"
"163","08/22/2023, 13:00-14","13:00-14",13,"00-14","08/22/2023",5,"Tuesday","08.22"
