"","recipe","sum(l_h2o_blue)"
"1","[CYO Grill Component] Black Bean Burger",70.7298714422282
"2","[CYO Grill Component] Burger",88.8793607464882
"3","[CYO Grill Component] Chicken Sandwich",69.470648861248
"4","[CYO Grill Component] Chicken Tenders",117.174791496587
"5","[CYO Grill Component] Fries",2.72997334161235
"6","[CYO Grill Component] Impossible Burger",23.2535935181063
"7","[CYO Grill Component] Salmon Burger",44.697222176261
"8","[CYO Grill Component] Sweet Potato Fries",3.97622481710592
"9","[CYO Grill Component] Toppings, American Cheese",4.19101736174331
"10","[CYO Grill Component] Toppings, Blue Cheese",0.5064387138243
"11","[CYO Grill Component] Toppings, Cheddar Cheese",4.19101736174331
"12","[CYO Grill Component] Toppings, Lettuce",3.6126687939468
"13","[CYO Grill Component] Toppings, Pepper Jack Cheese",4.19101736174331
"14","[CYO Grill Component] Toppings, Provolone Cheese",4.19101736174331
"15","[CYO Grill Component] Toppings, Red Onion",0.0324281392706443
"16","[CYO Grill Component] Toppings, Sauteed Mushrooms",3.62353612140658
"17","[CYO Grill Component] Toppings, Sauteed Onions",0.522685779529373
"18","[CYO Grill Component] Toppings, Tomato",1.47901452817344
"19","[CYO Grill Component] Toppings, Vegan Cheese",1.92240847858519
"20","[CYO Pasta Component] Alfredo Sauce",7.30043784490664
"21","[CYO Pasta Component] Asiago Cheese",1.05751095515845
"22","[CYO Pasta Component] Breaded Chicken Breast",42.3133900269654
"23","[CYO Pasta Component] Breadstick",8.24716209673653
"24","[CYO Pasta Component] Creamy Pesto Sauce",11.0902291796863
"25","[CYO Pasta Component] Creamy Red Pepper Alfredo Sauce",8.20525144919904
"26","[CYO Pasta Component] Creamy Spinach Alfredo Sauce",7.41137806771288
"27","[CYO Pasta Component] Creamy Sun Dried Tomato Pesto Sauce",12.743429828627
"28","[CYO Pasta Component] Grilled Chicken",48.6854955737768
"29","[CYO Pasta Component] Hot Italian Pork Sausage",43.8859936852871
"30","[CYO Pasta Component] Linguine Pasta",11.276157486668
"31","[CYO Pasta Component] Marinara Pasta Sauce",8.06996695979635
"32","[CYO Pasta Component] Meatless Meatballs",9.18221950556161
"33","[CYO Pasta Component] Mild Italian Sausage",43.8859936852871
"34","[CYO Pasta Component] Olive & Caper Topping",20.2131351486787
"35","[CYO Pasta Component] Parmesan Cheese",0.817167556258804
"36","[CYO Pasta Component] Parsley Garnish",0.288983269858498
"37","[CYO Pasta Component] Penne Pasta",11.276157486668
"38","[CYO Pasta Component] Pork & Beef Meatball",44.9473237844816
"39","[CYO Pasta Component] Roasted Cherry Tomatoes",14.3727904624167
"40","[CYO Pasta Component] Sauteed Broccoli",1.32295310556103
"41","[CYO Pasta Component] Sauteed Mushrooms",4.60554275028426
"42","[CYO Pasta Component] Sauteed Onions",2.87214406439808
"43","[CYO Pasta Component] Sauteed Pepper Medley",2.40397738755043
"44","[CYO Pasta Component] Sauteed Zucchini & Summer Squash",1.29551754979567
"45","[CYO Ramen Component] Chicken Bowl",104.53337192046
"46","[CYO Ramen Component] Ginger Tare",0.0220745767324265
"47","[CYO Ramen Component] Tofu Bowl",91.914411877497
