matched_ingredient,matched_ingredient_source,ne_kg_co2e_per_kg,se_kg_co2e_per_kg,mw_kg_co2e_per_kg,nw_kg_co2e_per_kg,sw_kg_co2e_per_kg,sc_kg_co2e_per_kg,nc_kg_co2e_per_kg,mean_kg_co2e_per_kg,ne_l__h2o_blue_per_kg,se_l_h2o_blue_per_kg,mw_l_h2o_blue_per_kg,nw_l_h2o_blue_per_kg,sw_l_h2o_blue_per_kg,sc_l_h2o_blue_per_kg,nc_l_h2o_blue_per_kg,mean_l_h2o_blue_per_kg,ne_l__h2o_green_per_kg,se_l_h2o_green_per_kg,mw_l_h2o_green_per_kg,nw_l_h2o_green_per_kg,sw_l_h2o_green_per_kg,sc_l_h2o_green_per_kg,nc_l_h2o_green_per_kg,mean_l_h2o_green_per_kg
2% Milk,Animal-Sourced,0.722576006,1.61113964,1.50087209,2.842801164,2.357025503,2.006108242,2.047242627,1.689912177,7.456664137,7.83339733,19.06885634,12.93679595,25.13208924,15.43181545,33.57703872,28.27898765,225.2810767,103.2265377,252.6895599,61.25263402,55.33090555,51.06095484,236.3212291,113.7288807
Cream (Heavy),Animal-Sourced,2.618970292,5.93398509,5.497952107,10.5823414,8.754610476,7.436247015,7.588466749,6.235803782,23.60910637,25.10756285,67.66001821,43.02012523,90.43626239,54.09610321,121.8633061,101.8989758,847.620051,388.389848,950.7444691,230.4630355,208.1825321,192.1168426,889.1586244,427.9049135
Sour Cream,Animal-Sourced,1.513438284,3.371456778,3.141687874,5.945164974,4.929893843,4.196412712,4.282466744,3.535913944,14.16387494,14.94860395,38.42160677,25.65677284,51.09496024,30.81626037,68.75623158,57.68429739,470.8374503,215.7434637,528.1211802,128.0180051,115.6415926,106.7173956,493.9113688,237.6933606
Butter,Animal-Sourced,6.173440052,14.04886889,12.99691469,25.12667539,20.77450681,17.63650653,17.99732213,14.7710716,54.36019342,57.98067825,159.4864712,99.80027192,213.6972475,127.2661513,288.3064555,240.7479895,2018.341601,924.8287448,2263.900095,548.7755175,495.7214789,457.4660726,2117.2527,1018.921494
Cheddar,Animal-Sourced,4.23750366,8.82708812,8.416872796,14.84415473,12.43470746,10.68147169,10.90196977,9.182657693,44.20523975,45.5503063,99.47460098,79.19446073,129.7852503,80.65634007,173.9155448,147.8337876,1117.39414,512.0036269,1253.340217,303.8130648,274.4412915,253.262336,1172.153296,564.0952481
Parmesan,Animal-Sourced,4.753088095,10.02216859,9.515758358,17.0067841,14.21843181,12.1924258,12.44378144,10.44179914,49.71338355,51.39130956,114.2136449,88.3953605,149.2359562,92.61649996,199.7861625,169.5572789,1293.11338,592.5203263,1450.438074,351.5901193,317.5993978,293.0898808,1356.483855,652.803775
Mozzarella,Animal-Sourced,3.801239908,7.815866185,7.487046552,13.01423758,10.92540224,9.40297205,9.597359907,8.117230313,39.54,40.61,87,71.41,113.33,70.54,152.03,129.45,968.7086298,443.874112,1086.565108,263.3863263,237.9228938,219.5621058,1016.181285,489.0341868
Beef,Animal-Sourced,24.22730337,25.42268997,24.00635059,26.16700297,26.59029618,25.46654916,26.77611549,25.19412968,554.3215669,560.687279,524.1021107,502.5681908,503.8929191,528.0005903,714.8023498,528.4900653,4143.013414,2771.891914,3733.831239,1821.177449,1637.070427,1970.819512,3717.484563,1943.670156
Chicken,Animal-Sourced,0.566311089,1.357420535,1.195367893,2.750206212,2.351508776,2.146373997,1.927033204,1.603195084,98.4222366,199.3029232,173.7552798,870.8201117,1037.791917,621.3484328,456.827122,426.4459761,2303.586573,2466.094118,2502.520661,3096.980564,2607.407898,3587.324317,2920.674751,2698.938861
Eggs,Animal-Sourced,0.715669179,1.538521706,1.386635531,2.614207507,2.224356278,2.396490107,2.133019932,1.807454323,93.6119687,213.0542503,187.6233213,1068.187149,1270.703188,738.379753,533.8645311,506.6106075,2867.716411,3067.003609,3122.631021,2341.849178,1804.220112,4498.260198,3671.394826,3446.675361
Pork,Animal-Sourced,0.980795476,2.228454124,2.005952497,3.876868696,3.254966453,3.25479386,2.990553813,2.516219627,81.04790784,209.6943625,179.3186353,967.5869738,1210.99508,767.8653429,543.0855523,516.0109594,2925.538796,3071.333648,3163.781601,1946.839114,1157.783102,4363.739461,3645.058302,3235.765715
Sausage,Animal-Sourced,0.980795476,2.228454124,2.005952497,3.876868696,3.254966453,3.25479386,2.990553813,2.516219627,81.04790784,209.6943625,179.3186353,967.5869738,1210.99508,767.8653429,543.0855523,516.0109594,2925.538796,3071.333648,3163.781601,1946.839114,1157.783102,4363.739461,3645.058302,3235.765715
Salmon,Animal-Sourced,,,,,,,,4.118471057,,,,,,,,393.241552,,,,,,,,3068.815361
Avocado,Produce,,0.451719561,,,0.510104546,,,0.447026239,,10.5795507,,,973.5026856,,,544.5120474,,140.0908154,,,381.3531557,,,273.8213185
Bell Pepper,Produce,0.079454223,0.164772423,0.159648606,,0.263440819,,,0.183681929,35.99956001,42.75926829,28.82199808,,180.8323054,,,106.3878693,130.6146994,165.801496,132.4632101,,23.79409132,,,93.54604179
Broccoli,Produce,,0.236069396,,,0.335288709,,,0.275964635,,24.15345037,,,88.24969824,,,83.61756232,,61.83175346,,,13.35409158,,,17.02506835
Cabbage,Produce,0.065654065,0.167628678,0.152591269,,0.246367169,0.220862356,,0.185784608,14.74025286,32.94185776,23.81600335,,0.639899008,74.47327605,,57.55772559,107.2884358,112.2142616,101.1859949,,0,99.43917163,,88.0626301
Carrot,Produce,,,0.164533959,0.302945698,0.264102757,0.231677137,,0.19085407,,,12.71454276,56.74857404,79.6607247,43.95726006,,72.86889966,,,53.79112712,25.1470384,12.07155852,57.02536001,,16.45237347
Cauliflower,Produce,,0.200244783,,,0.296004735,,,0.235412484,,25.13550736,,,91.9599064,,,84.02323315,,64.45762119,,,13.92121246,,,20.0860054
Celery,Produce,,,0.139965994,,0.251669261,,,0.176106256,,,15.32630501,,82.63599314,,,78.46289178,,,52.70747768,,12.54035691,,,15.06742742
Eggplant,Produce,0.06324703,0.177159142,0.152642469,0.30902762,0.275829446,0.229933822,,0.194127667,10.55790511,17.13044556,13.27515843,73.82959051,137.5411759,56.56257708,,131.4643883,74.9834356,75.47347757,77.72625667,34.15487499,20.97637746,73.59510808,,23.22035914
Fennel,Produce,0.058021827,0.158757322,0.137792312,0.284933208,0.251000684,0.208781479,,0.174731081,8.313364567,13.34044923,10.34678029,57.30607227,106.639153,43.88797713,,101.9358491,58.10110917,58.48081946,60.22639118,26.4649933,16.25360037,57.02536001,,17.99235539
Lettuce,Produce,,,,,0.265410382,,,0.187016852,,,,,100.2794225,,,100.3410568,,,,,15.20559415,,,15.20559415
Mushroom,Produce,,,0.134987617,,0.237890747,,,0.168337212,,,15.17565666,,81.62585759,,,77.51336953,,,52.03498819,,12.38035573,,,14.8751836
Olives,Produce,,,,,0.731641429,,,0.667007378,,,,,390.5736852,,,391.756793,,,,,314.1951794,,,314.1951794
Onion,Produce,0.066198563,0.152174288,,0.283365414,0.245685502,0.201687472,,0.163327378,10.76732019,36.3460361,,88.86250976,119.0367821,83.10675357,,3.445388421,79.22474498,87.11353564,,30.10419331,16.01179077,81.83206523,,93.26026124
Squash,Produce,0.088404527,0.196422059,0.152831561,0.317030172,0.318671777,0.269276213,,0.196778943,10.82318249,18.55509207,17.5317222,62.44427841,94.71270972,52.21445871,,36.2682833,68.91732425,78.21728355,60.43919756,34.80610971,14.37991613,67.92991088,,55.08741189
Sweet Corn,Produce,0.426970434,0.598235288,0.534790101,0.643719796,0.743537222,0.747382271,0.633201309,0.576710543,20.56199862,47.18715276,42.45694245,537.1983043,532.2104679,249.565827,174.2773956,91.15218894,743.1925377,798.5256881,791.4037178,1015.031493,1251.981584,1064.060169,892.4062309,835.3303948
Tomato,Produce,0.079682628,0.155360456,0.114721657,,0.225070149,,,0.148809555,0.456078878,20.36396956,0.50668017,,79.64650106,,,74.00099634,0,36.30636634,0,,11.97695231,,,12.46777286
Cucumber,Produce,,0.162465201,0.174409696,,0.306290651,,,0.191669031,,71.69501754,63.01814216,,348.7165322,,,91.18473803,,285.1094178,223.7034075,,53.08322299,,,239.9632737
Spinach,Produce,0.088623672,,,,0.289574693,,,0.214220658,18.26681303,,,,82.63613859,,,81.19892838,57.49004045,,,,12.54035691,,,13.58569839
Beans,Plant-Sourced,,,0.160794315,0.170392286,0.188344552,,0.183182648,0.167725361,,,138.7666248,918.6055375,1223.035679,,317.4194559,342.2147321,,,1471.805517,1459.262737,1084.214049,,1752.390007,1589.286208
Corn Chips,Plant-Sourced,0.343784525,0.495445388,0.46676721,0.563411796,0.599466515,0.59462093,0.525493912,0.484514824,13.78661204,29.96627303,26.84975309,330.2988199,326.0060328,153.2493981,107.675785,56.92898789,454.3317152,488.2871282,484.0279502,620.5946887,765.3823047,650.5590818,545.6240589,510.76669
Coconut Oil,Plant-Sourced,,,,,,,,3.724799218,,,,,,,,30.20781074,,,,,,,,1353.48554
Corn Starch,Plant-Sourced,0.529930001,0.945768522,1.164245124,1.268105896,1.846878688,2.287379797,2.169792336,2.319259962,17.26153933,59.62522295,76.12032287,1231.671187,1506.615687,842.9029602,684.7224868,408.4605903,480.2503856,951.4552451,1374.534214,2316.450431,3539.930479,3588.838556,3496.53112,3728.421464
Daiya Cheddar Slices,Plant-Sourced,,,,,,,,1.300748805,,,,,,,,87.38526266,,,,,,,,362.9149706
Impossible Burger,Plant-Sourced,,,,,,,,1.336365032,,,,,,,,114.7995122,,,,,,,,959.66826
Oat Flour,Plant-Sourced,0.961881667,1.019690969,1.089206817,0.644578557,0.993852547,1.089715885,0.759379212,0.906900765,11.20609395,45.16725084,49.11817965,267.0926041,331.9282159,189.6387315,120.5074996,93.76392879,600.8591359,694.281037,678.5286791,1144.856994,378.5326582,1038.020812,773.1175251,758.9699466
Olive Oil,Plant-Sourced,,,,,0.952174813,,,0.904918308,,,,,601.8225543,,,602.2386101,,,,,438.4202226,,,438.4202226
Pea Protein (CAN),Plant-Sourced,,,,,,,,1.339099931,,,,,,,,202.4332893,,,,,,,,378.6097424
Potato Fries,Plant-Sourced,0.236176846,0.371204872,0.382313611,0.456618532,0.39735208,0.371772038,0.374510054,0.360150706,5.908338194,8.807059369,9.1193607,42.68564305,25.25048449,7.370122541,13.77546726,24.07424405,66.24627046,41.05750023,69.15029103,141.4985432,148.5007585,108.5396815,87.93595779,106.0381565
Potato Starch,Plant-Sourced,,,,,,,,0.037892044,,,,,,,,197.6951,,,,,,,,6.535443784
Rapeseed Oil,Plant-Sourced,,,0.480043828,0.522818581,,0.448146613,0.352494062,0.338733075,,,255.0037365,500.2374476,,104.3374585,376.2171129,378.8874702,,,1835.315155,602.1268851,,1109.967341,1618.665312,1515.731279
Rice,Plant-Sourced,,1.133402912,1.09251378,,0.897406039,1.079647431,,1.072419502,,558.9278259,482.1947071,,1214.429781,745.1057253,,690.4706761,,452.0541536,519.9351466,,70.10708824,330.7830248,,376.6451158
Soy Protein,Plant-Sourced,3.347713503,4.204304204,4.829068496,,,3.836218306,3.870479112,4.069559258,188.8886856,375.7266048,286.2122167,,,638.4060568,694.6199182,392.6144888,3364.737617,3604.189706,3720.646895,,,5259.845252,4152.630323,3854.613047
Sweet Potato Fries,Plant-Sourced,,0.366237887,,,0.405553012,,,0.372626829,,34.07831596,,,36.30665422,,,35.06430088,,422.7027213,,,96.92797936,,,335.3619284
Sunflower Oil,Plant-Sourced,,,0.523236285,,0.852834433,0.437514635,0.440856909,0.529964705,,,365.3804592,,2731.412024,780.8990255,478.93342,435.2111599,,,3367.134462,,2142.484062,5718.618264,4349.536011,2370.467261
Sunflower Oil (CAN),Plant-Sourced,,,,,,,,0.362596899,,,,,,,,577.3210769,,,,,,,,1834.98366
Tofu,Plant-Sourced,0.188498552,0.240155849,0.233626641,,,0.314572663,0.295897684,0.259780613,58.49032391,135.030912,98.83620817,,,245.8156485,266.8973462,141.5961357,1390.859831,1489.840592,1537.979747,,,2174.228219,1716.545943,1593.356469
Wheat Bread,Plant-Sourced,0.460823271,0.528469352,0.63581379,0.562501103,0.570779071,0.689036517,0.671307467,0.614982159,47.78265454,36.93705658,80.3426426,277.0863757,236.1397939,130.312435,134.5848784,166.2343333,983.6072552,1022.239912,1160.213765,2820.840824,3535.652504,1872.954815,1586.397357,2030.208394
Wheat Flour,Plant-Sourced,0.4449877,0.508301313,0.612310617,0.544575789,0.554717898,0.671419815,0.65328916,0.595671422,47.18265454,36.3342197,79.73980572,276.4835388,235.536957,129.7095981,133.9820415,165.6314964,983.6072552,1022.239912,1160.213765,2820.840824,3535.652504,1872.954815,1586.397357,2030.208394
Wheat Noodles,Plant-Sourced,0.693401632,0.816712343,0.974117085,0.825973898,0.815604397,0.965979828,0.950767231,0.903251118,55.03412138,42.76467554,90.66837757,313.2814209,264.6178164,146.203526,151.9482752,187.3309544,1097.775954,1140.892759,1294.881434,3148.259848,3946.040741,2090.351356,1770.532764,2265.857582
Sesame Oil,Plant-Sourced,,,,,,0.225427684,,0.193986637,,,,,,410.6793667,,410.8363974,,,,,,5852.308084,,5852.308084
