station,recipe,ingredient,listed_quantity,volume_weight_conversion,conversion_source,conversion_item,weight_oz,matched_ingredient
Grill,[CYO Grill Component] Burger,80/20 Beef Patty,5.33 Oz,no,,,5.33,Beef
Grill,[CYO Grill Component] Burger,Ithaca Bakery Large Roll [Butter Grilled Roll],1 Roll,yes,"FDA, Title 21, Volume 2; USDA Nutrient Database for Standard Reference",Amish Roll Butter,1.764,Wheat Bread
Grill,[CYO Grill Component] Burger,Salted Butter [Butter Grilled Roll],5/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.104,Butter
Grill,[CYO Grill Component] Burger,Kosher Salt [Seasoning Rochester],,,,,,
Grill,[CYO Grill Component] Burger,Ground Cumin [Seasoning Rochester],,,,,,
Grill,[CYO Grill Component] Burger,Garlic Powder [Seasoning Rochester],,,,,,
Grill,[CYO Grill Component] Burger,Dark Chili Powder [Seasoning Rochester],,,,,,
Grill,[CYO Grill Component] Burger,Black Pepper [Seasoning Rochester],,,,,,
Grill,[CYO Grill Component] Chicken Sandwich,5 Oz Bnls Skinles Chicken Breast,1 5 Oz Breast,no,,,5,Chicken
Grill,[CYO Grill Component] Chicken Sandwich,Ithaca Bakery Large Roll [Butter Grilled Roll],1 Roll,yes,"FDA, Title 21, Volume 2; USDA Nutrient Database for Standard Reference",Amish Roll Butter,1.764,Wheat Bread
Grill,[CYO Grill Component] Chicken Sandwich,Salted Butter [Butter Grilled Roll],5/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.104,Butter
Grill,[CYO Grill Component] Chicken Sandwich,Kosher Salt [Rochester Seasoning],,,,,,
Grill,[CYO Grill Component] Chicken Sandwich,Ground Cumin [Rochester Seasoning],,,,,,
Grill,[CYO Grill Component] Chicken Sandwich,Garlic Powder [Rochester Seasoning],,,,,,
Grill,[CYO Grill Component] Chicken Sandwich,Dark Chili Powder [Rochester Seasoning],,,,,,
Grill,[CYO Grill Component] Chicken Sandwich,Black Pepper [Rochester Seasoning],,,,,,
Grill,[CYO Grill Component] Salmon Burger,Salmon Burger Patty,3.2 Oz,no,,,3.2,Salmon
Grill,[CYO Grill Component] Salmon Burger,Ithaca Bakery Large Roll [Butter Grilled Roll],1 Roll,yes,"FDA, Title 21, Volume 2; USDA Nutrient Database for Standard Reference",Amish Roll Butter,1.764,Wheat Bread
Grill,[CYO Grill Component] Salmon Burger,Salted Butter [Butter Grilled Roll],5/8 Teaspoon,yes,USDA Nutrient Database for Standard Reference,"Butter, salted",0.104,Butter
Grill,[CYO Grill Component] Impossible Burger,"""Impossible Burger"" Patty [Patty ""Impossible Burger"" Trillium]",4 Oz,no,,,4,Impossible Burger
Grill,[CYO Grill Component] Impossible Burger,"Kosher Salt [Seasoning Rochester, Patty ""Impossible Burger"" Trillium]",,,,,,
Grill,[CYO Grill Component] Impossible Burger,"Ground Cumin [Seasoning Rochester, Patty ""Impossible Burger"" Trillium]",,,,,,
Grill,[CYO Grill Component] Impossible Burger,"Garlic Powder [Seasoning Rochester, Patty ""Impossible Burger"" Trillium]",,,,,,
Grill,[CYO Grill Component] Impossible Burger,"Dark Chili Powder [Seasoning Rochester, Patty ""Impossible Burger"" Trillium]",,,,,,
Grill,[CYO Grill Component] Impossible Burger,"Black Pepper [Seasoning Rochester, Patty ""Impossible Burger"" Trillium]",,,,,,
Grill,[CYO Grill Component] Impossible Burger,Ithaca Bakery Large Roll,1 Roll,yes,"FDA, Title 21, Volume 2; USDA Nutrient Database for Standard Reference",Amish Roll Butter,1.764,Wheat Bread
Grill,[CYO Grill Component] Impossible Burger,Daiya Vegan Sliced Cheddar,1 Slice,yes,Daiya Foods,Dairy-Free Cheddar Slices,0.776,Daiya Cheddar Slices
Grill,"[CYO Grill Component] Toppings, Mayonnasie",Extra Heavy Mayonnaise [Assorted Burger Toppings],,,,,,
Grill,"[CYO Grill Component] Toppings, Ketchup",Ketchup [Assorted Burger Toppings],,,,,,
Grill,"[CYO Grill Component] Toppings, Mustard",Mustard [Assorted Burger Toppings],,,,,,
Grill,"[CYO Grill Component] Toppings, Chipotle Lime Spread","Canned Chipotle Peppers in Adobo Sauce [Chipotle Lime Spread, Assorted Burger Toppings]",,,,,,
Grill,"[CYO Grill Component] Toppings, Chipotle Lime Spread","Water [Chipotle Lime Spread, Assorted Burger Toppings]",,,,,,
Grill,"[CYO Grill Component] Toppings, Chipotle Lime Spread","Lime Juice [Chipotle Lime Spread, Assorted Burger Toppings]",,,,,,
Grill,"[CYO Grill Component] Toppings, Chipotle Lime Spread","Kosher Salt [Chipotle Lime Spread, Assorted Burger Toppings]",,,,,,
Grill,"[CYO Grill Component] Toppings, Chipotle Lime Spread","Extra Heavy Mayonnaise [Chipotle Lime Spread, Assorted Burger Toppings]",,,,,,
Grill,"[CYO Grill Component] Toppings, Sliced Jalapeno",Sliced Jalapeno [Assorted Burger Toppings],,,,,,
Grill,"[CYO Grill Component] Toppings, Sauteed Onions","Whole Peeled Onion [Sauteed Onions, Assorted Burger Toppings]",2 Oz,no,,,2,Onion
