item,count,date
Total,"1,970",12.06
Unit Prepared,"1,507",12.06
Grill,475,12.06
Quesadilla Deluxe Trillium,114,12.06
Grilled Hamburger,76,12.06
Burrito Una Mano Trillium BYO,50,12.06
Fried Chicken Tenders,63,12.06
French Fries,113,12.06
Quesadilla Cheese,12,12.06
Trillium Grill Impossible Burger,8,12.06
Grilled Chicken Breast Sandwich,8,12.06
Seared Salmon Burger,6,12.06
Black Bean Burger,5,12.06
Sweet Potato Fries,7,12.06
Add Sausage 2 Patty,4,12.06
ADD Beef Patty $2.99,2,12.06
ADD Cheese,5,12.06
Add Egg $.99,2,12.06
Asian,311,12.06
1 Entree + 1 Side,137,12.06
1 Entree + 2 Side,61,12.06
Bowl Ramen Chicken,58,12.06
2 Entrees + 2 Sides,23,12.06
Bowl Ramen Tofu,18,12.06
1 Wok Entree,5,12.06
Side Vegetarian Lo Mein,5,12.06
Side Vegetables,1,12.06
Side Vegetable Spring Rolls,1,12.06
Side Vegetarian Fried Rice with,1,12.06
Side White or Brown Rice,1,12.06
Breakfast,241,12.06
Burrito Breakfast,72,12.06
Small French Omelet,49,12.06
Grand Slam Breakfast,15,12.06
Egg Cheese Sausage Breakfast San,26,12.06
Egg Cheese Bacon Breakfast Sandw,20,12.06
Add Bacon,27,12.06
Two Eggs,18,12.06
Pancake Single,4,12.06
Trillium Home Fries,3,12.06
2 Slices Toast,5,12.06
Toast,1,12.06
PC Peanut Butter,1,12.06
Italian,168,12.06
Create Your Pasta Bowl MEAT,83,12.06
Pizza with Toppings,28,12.06
Create Your Pasta Bowl VEG,12,12.06
Pizza Cheese,19,12.06
Add Extra Meat,26,12.06
Mexican,72,12.06
Burrito Bowl BYO,66,12.06
Single Taco,6,12.06
Soup,64,12.06
Soup 12 oz,34,12.06
8 oz Soup,30,12.06
Salad Bar,34,12.06
Salad by the Pound,34,12.06
Beverages,117,12.06
Soda Fountain 24 oz,35,12.06
Coffee 16 oz SB,23,12.06
Soda Fountain 16 oz,30,12.06
Coffee 12 oz SB,16,12.06
Hot Tea 20 oz,10,12.06
Hot Cocoa,3,12.06
Grab N Go,21,12.06
Side Potato Tots,21,12.06
Open Misc,4,12.06
Open Miscellaneous,4,12.06
Convenience,403,12.06
Beverages,273,12.06
Water Aquafina 20 oz,14,12.06
Soda Pepsi Diet 20 Oz,12,12.06
Tea Golden Oolong Unsweet Ito En,7,12.06
Juice Ocean Spray Cranbe Grape 1,11,12.06
Soda Pepsi 20 Oz,7,12.06
Soda Pepsi Wild Cherry 20 Oz,7,12.06
Water Life WTR Immune 700 ML,5,12.06
Tea Green Matcha Milk Ito En 11.,4,12.06
Tea Jasmine Green Unsweet Ito En,4,12.06
Soda Orange Crush 20 Oz,6,12.06
Juice Orange Premium Topicana 11,5,12.06
Gatorade Propel Grape Water 1 lt,5,12.06
Frappuccino Vanilla SB 13.7 Oz,3,12.06
Juice Naked Green Machine,3,12.06
Juice Naked Mighty Mango,3,12.06
Water Aquafina 1L,5,12.06
Soda Ginger Ale Schweppes 20 Oz,5,12.06
Soda Rootbeer Mug 20 oz,5,12.06
Tea Iced Rasberry Lipton 16 oz,5,12.06
Tea Peach Pure Leaf Lipton 18.5,5,12.06
Tea Unsweetened Pure Leaf Lipton,5,12.06
Yerba Mate Enlighten Mint 15.5 o,3,12.06
Yerba Mate Tropical 15.5 oz,3,12.06
Tea Black Milk Ito En 11.8 oz,3,12.06
Cold Brew Vanilla Sweet Cream St,3,12.06
Juice Joes Lemonade  Red Jacket1,3,12.06
Energy Blue Raz Lemonade Celsius,3,12.06
Energy Kiwi Guava Celsius 12 oz,3,12.06
Energy Mango PassFruit Celsius 1,3,12.06
Muscle Milk PROSRS 40 Intense Va,2,12.06
Water Aquafina Alumitek 16 oz,5,12.06
Soda Rootbeer Zero Sugar Mug 20,4,12.06
