Eatery Name,Hour,15 Minutes,Business Date,Transactions
Trillium,08,00-14,08/21/2023,1
Trillium,08,00-14,08/21/2023,3
Trillium,08,00-14,08/21/2023,4
Trillium,08,15-29,08/21/2023,7
Trillium,08,15-29,08/21/2023,1
Trillium,08,15-29,08/21/2023,1
Trillium,08,15-29,08/21/2023,15
Trillium,08,30-44,08/21/2023,5
Trillium,08,30-44,08/21/2023,2
Trillium,08,30-44,08/21/2023,14
Trillium,08,45-59,08/21/2023,11
Trillium,08,45-59,08/21/2023,1
Trillium,09,00-14,08/21/2023,16
Trillium,09,00-14,08/21/2023,1
Trillium,09,00-14,08/21/2023,1
Trillium,09,00-14,08/21/2023,7
Trillium,09,15-29,08/21/2023,5
Trillium,09,15-29,08/21/2023,15
Trillium,09,30-44,08/21/2023,9
Trillium,09,30-44,08/21/2023,1
Trillium,09,30-44,08/21/2023,3
Trillium,09,30-44,08/21/2023,15
Trillium,09,45-59,08/21/2023,20
Trillium,09,45-59,08/21/2023,1
Trillium,09,45-59,08/21/2023,28
Trillium,10,00-14,08/21/2023,19
Trillium,10,00-14,08/21/2023,1
Trillium,10,00-14,08/21/2023,27
Trillium,10,15-29,08/21/2023,13
Trillium,10,15-29,08/21/2023,22
Trillium,10,30-44,08/21/2023,12
Trillium,10,30-44,08/21/2023,6
Trillium,10,45-59,08/21/2023,6
Trillium,10,45-59,08/21/2023,1
Trillium,10,45-59,08/21/2023,15
Trillium,11,00-14,08/21/2023,45
Trillium,11,00-14,08/21/2023,1
Trillium,11,00-14,08/21/2023,86
Trillium,11,15-29,08/21/2023,31
Trillium,11,15-29,08/21/2023,1
Trillium,11,15-29,08/21/2023,94
Trillium,11,30-44,08/21/2023,55
Trillium,11,30-44,08/21/2023,1
Trillium,11,30-44,08/21/2023,5
Trillium,11,30-44,08/21/2023,68
Trillium,11,45-59,08/21/2023,1
Trillium,11,45-59,08/21/2023,60
Trillium,11,45-59,08/21/2023,7
Trillium,11,45-59,08/21/2023,58
Trillium,12,00-14,08/21/2023,59
Trillium,12,00-14,08/21/2023,1
Trillium,12,00-14,08/21/2023,4
Trillium,12,00-14,08/21/2023,107
Trillium,12,15-29,08/21/2023,65
Trillium,12,15-29,08/21/2023,2
Trillium,12,15-29,08/21/2023,115
Trillium,12,30-44,08/21/2023,57
Trillium,12,30-44,08/21/2023,8
Trillium,12,30-44,08/21/2023,98
Trillium,12,45-59,08/21/2023,57
Trillium,12,45-59,08/21/2023,3
Trillium,12,45-59,08/21/2023,97
Trillium,13,00-14,08/21/2023,51
Trillium,13,00-14,08/21/2023,3
Trillium,13,00-14,08/21/2023,6
Trillium,13,00-14,08/21/2023,60
Trillium,13,15-29,08/21/2023,1
Trillium,13,15-29,08/21/2023,46
Trillium,13,15-29,08/21/2023,4
Trillium,13,15-29,08/21/2023,86
Trillium,13,30-44,08/21/2023,1
Trillium,13,30-44,08/21/2023,42
Trillium,13,30-44,08/21/2023,4
Trillium,13,30-44,08/21/2023,4
Trillium,13,30-44,08/21/2023,72
Trillium,13,45-59,08/21/2023,31
Trillium,13,45-59,08/21/2023,1
Trillium,13,45-59,08/21/2023,3
Trillium,13,45-59,08/21/2023,35
Trillium,14,00-14,08/21/2023,13
Trillium,14,00-14,08/21/2023,5
Trillium,14,00-14,08/21/2023,19
Trillium,14,15-29,08/21/2023,20
Trillium,14,15-29,08/21/2023,3
Trillium,14,15-29,08/21/2023,34
Trillium,14,30-44,08/21/2023,16
Trillium,14,30-44,08/21/2023,1
Trillium,14,30-44,08/21/2023,36
Trillium,14,45-59,08/21/2023,23
Trillium,14,45-59,08/21/2023,18
Trillium,15,00-14,08/21/2023,5
Trillium,15,00-14,08/21/2023,2
Trillium,15,15-29,08/21/2023,1
Trillium,08,00-14,08/22/2023,1
Trillium,08,00-14,08/22/2023,2
Trillium,08,00-14,08/22/2023,13
Trillium,08,15-29,08/22/2023,5
Trillium,08,15-29,08/22/2023,1
Trillium,08,15-29,08/22/2023,21
Trillium,08,30-44,08/22/2023,3
Trillium,08,30-44,08/22/2023,1
Trillium,08,30-44,08/22/2023,13
Trillium,08,45-59,08/22/2023,4
Trillium,08,45-59,08/22/2023,3
Trillium,08,45-59,08/22/2023,3
Trillium,09,00-14,08/22/2023,5
Trillium,09,00-14,08/22/2023,1
Trillium,09,00-14,08/22/2023,8
Trillium,09,15-29,08/22/2023,9
Trillium,09,15-29,08/22/2023,1
Trillium,09,15-29,08/22/2023,2
Trillium,09,15-29,08/22/2023,7
Trillium,09,30-44,08/22/2023,7
Trillium,09,30-44,08/22/2023,29
Trillium,09,45-59,08/22/2023,8
Trillium,09,45-59,08/22/2023,3
Trillium,09,45-59,08/22/2023,34
